title,artist,year,spotify_url
Bohemian Rhapsody,Queen,1975,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
Billie Jean,Michael Jackson,1983,https://open.spotify.com/track/5ChkMS8OtdzJeqyybCc9R5
Smells Like Teen Spirit,Nirvana,1991,https://open.spotify.com/track/5ghIJDpPoe3CfHMGu71E6T
Wonderwall,Oasis,1995,https://open.spotify.com/track/1qPbGZqppFwLwcBC1JQ6Vr
Crazy in Love,Beyoncé,2003,https://open.spotify.com/track/5IVuqXILoxVWvWEPm82Jxr
Poker Face,Lady Gaga,2008,https://open.spotify.com/track/5R8dQOPq8haW94K7mgERlO
Rolling in the Deep,Adele,2010,https://open.spotify.com/track/1c8gk2PeTE04A1pIDH9YMk
Uptown Funk,Mark Ronson ft. Bruno Mars,2014,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
Blinding Lights,The Weeknd,2019,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
As It Was,Harry Styles,2022,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e

