title,artist,year,spotify_url
Livin' On A Prayer,Bon Jovi,1986,https://open.spotify.com/track/0J6mQxEZnlRt9ymzFntA6z
Come On Eileen,Dexys Midnight Runners,1982,https://open.spotify.com/track/0EMmVUYs9ZZRHtlADB88uz
Sweet Caroline - Single Version,Neil Diamond,1996,https://open.spotify.com/track/6l7tK5SsMlN8a9ccgeIkpS
Sweet Home Alabama,Lynyrd Skynyrd,1974,https://open.spotify.com/track/7e89621JPkKaeDSTQ3avtg
Ice Ice Baby,Vanilla Ice,2008,https://open.spotify.com/track/3XVozq1aeqsJwpXrEZrDJ9
Cotton Eye Joe,Rednex,1995,https://open.spotify.com/track/0Jg602cHeMCnPez9baacIe
I'm Gonna Be (500 Miles),The Proclaimers,2003,https://open.spotify.com/track/66S14BkJDxgkYxLl5DCqOz
A Thousand Miles,Vanessa Carlton,2011,https://open.spotify.com/track/6Qm9MaditCcx5V62rVHYqu
Teenage Dirtbag,Wheatus,2000,https://open.spotify.com/track/3LI4MmibTkXH5cGpCGZgyw
Mr. Brightside,The Killers,2004,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN
Never Gonna Give You Up,Rick Astley,1987,https://open.spotify.com/track/7GhIk7Il098yCjg4BQjzvb
Eye of the Tiger,Survivor,1985,https://open.spotify.com/track/2KH16WveTQWT6KOG9Rg6e2
Chicken Fried,Zac Brown Band,2008,https://open.spotify.com/track/4dGJf1SER1T6ooX46vwzRB
American Pie,Don McLean,1988,https://open.spotify.com/track/2QgWuCtBpNIpl5trmKCxRf
I Love Rock 'n' Roll,The Black Jets,2010,https://open.spotify.com/track/0p20xyAdYkaxAPWdXr0sir
Dancing Queen,ABBA,1976,https://open.spotify.com/track/4NtUY5IGzHCaqfZemmAu56
The Time Warp,"Richard O'Brien, Patricia Quinn, Nell Campbell",2015,https://open.spotify.com/track/5Y8sslyf4YIBYxYUYmY52K
Don't Stop Me Now - Remastered 2011,Queen,1978,https://open.spotify.com/track/7hQJA50XrCWABAu5v6QZ4i
Bohemian Rhapsody - Remastered 2011,Queen,2011,https://open.spotify.com/track/2GAIycsMaDVtMtdvxzR2xI
Under Pressure - Remastered 2011,"Queen, David Bowie",1991,https://open.spotify.com/track/2aSFLiDPreOVP6KHiWk4lF
Wonderwall (Remastered),Oasis,1995,https://open.spotify.com/track/5wj4E6IsrVtn8IBJQOd0Cl
We Will Rock You - Remastered 2011,Queen,1977,https://open.spotify.com/track/54flyrjcdnQdco7300avMJ
Piano Man,Billy Joel,2001,https://open.spotify.com/track/3FCto7hnn1shUyZL42YgfO
"Hey, Soul Sister",Train,2009,https://open.spotify.com/track/0KpfYajJVVGgQ32Dby7e9i
In the End,Linkin Park,2000,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
Stacy's Mom,Fountains Of Wayne,2003,https://open.spotify.com/track/27L8sESb3KR79asDUBu8nW
All Star,Smash Mouth,1999,https://open.spotify.com/track/3cfOd4CMv2snFaKAnMdnvK
You Found Me,The Fray,2009,https://open.spotify.com/track/4IoYz8XqqdowINzfRrFnhi
Bring Me To Life,Evanescence,2003,https://open.spotify.com/track/0COqiPhxzoWICwFCS4eZcp
I Write Sins Not Tragedies,Panic! At The Disco,2005,https://open.spotify.com/track/4bPQs0PHn4xbipzdPfn6du
Life Is A Highway - 2008 Remaster,Rascal Flatts,2008,https://open.spotify.com/track/1Mxl69ygEVGdc155dYiHmr
Some Nights,fun.,2012,https://open.spotify.com/track/6t6oULCRS6hnI7rm0h5gwl
Little Lion Man,Mumford & Sons,2009,https://open.spotify.com/track/2BBkIgdXLv5vyp1DR0wpQl
Breakeven,The Script,2008,https://open.spotify.com/track/38xWaVFKaxZlMFvzNff2aW
Viva La Vida,Coldplay,2008,https://open.spotify.com/track/1mea3bSkSGXuIRvnydlB5b
Use Somebody,Kings of Leon,2008,https://open.spotify.com/track/5VGlqQANWDKJFl0MBG3sg2
Take on Me,a-ha,1985,https://open.spotify.com/track/2WfaOiMkCvy7F5fcp2zZ8L
Seven Nation Army,The White Stripes,2003,https://open.spotify.com/track/3ctoHckjyd13eBi2IDw2Ip
September,"Earth, Wind & Fire",1992,https://open.spotify.com/track/5nNmj1cLH3r4aA4XDJ2bgY
Bye Bye Bye,*NSYNC,2000,https://open.spotify.com/track/62bOmKYxYg7dhrC6gH9vFn
I'm Yours,Jason Mraz,2008,https://open.spotify.com/track/1EzrEOXmMH3G43AXT1y7pA
Feel Good Inc.,"Gorillaz, De La Soul",2005,https://open.spotify.com/track/0d28khcov6AiegSCpG5TuT
"Check Yes, Juliet",We The Kings,2007,https://open.spotify.com/track/5Vac8co5QPblcdlWbHSFsE
Pumped Up Kicks,Foster The People,2011,https://open.spotify.com/track/7w87IxuO7BDcJ3YUqCyMTT
It's a Beautiful Day,Michael Bublé,2013,https://open.spotify.com/track/0mvkwaZMP2gAy2ApQLtZRv
Escape (The Pina Colada Song),Rupert Holmes,1979,https://open.spotify.com/track/5IMtdHjJ1OtkxbGe4zfUxQ
Shake It,Metro Station,2007,https://open.spotify.com/track/5619Ojc6t9evEEs3B7Drhe
Girls Just Want to Have Fun,Cyndi Lauper,2014,https://open.spotify.com/track/2zjt2hHBbiv5SuxYg8Z7eP
She Will Be Loved,Maroon 5,2002,https://open.spotify.com/track/7sapKrjDij2fpDVj0GxP66
Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean",2005,https://open.spotify.com/track/3ZFTkvIE7kyPt6Nu3PEa7V
Barbie Girl,Aqua,2009,https://open.spotify.com/track/2ZCTP54O2dMSbVrdsg60to
TiK ToK,Kesha,2010,https://open.spotify.com/track/5OMwQFBcte0aWFJFqrr5oj
Jump Around,House Of Pain,1992,https://open.spotify.com/track/2oTDOIAdsxPTE7yAp4YOcv
We Are The Champions - Remastered 2011,Queen,1977,https://open.spotify.com/track/7ccI9cStQbQdystvc6TvxD
The Final Countdown,Europe,1986,https://open.spotify.com/track/3MrRksHupTVEQ7YbA0FsZK
Hollaback Girl,Gwen Stefani,2004,https://open.spotify.com/track/6RcQOut9fWL6FSqeIr5M1r
Wake Me Up Before You Go-Go,Wham!,1984,https://open.spotify.com/track/0ikz6tENMONtK6qGkOrU3c
The Lion Sleeps Tonight (Wimoweh),The Tokens,1994,https://open.spotify.com/track/2F4FNcz68howQWD4zaGJSi
Lose Yourself,Eminem,2005,https://open.spotify.com/track/5Z01UMMf7V1o0MzF86s6WJ
It Wasn't Me,"Shaggy, Rik Rok",2008,https://open.spotify.com/track/0OaunKfsxkgBvPv68jBbmm
Who Let The Dogs Out,Baha Men,2000,https://open.spotify.com/track/1H5tvpoApNDxvxDexoaAUo
Fergalicious,"Fergie, will.i.am",2006,https://open.spotify.com/track/1D066zixBwqFYqBhKgdPzp
...Baby One More Time,Britney Spears,1999,https://open.spotify.com/track/3MjUtNVVq3C8Fn0MP3zhXa
Stairway to Heaven - Remaster,Led Zeppelin,1971,https://open.spotify.com/track/5CQ30WqJwcep0pYcV4AMNc
Highway to Hell,AC/DC,1979,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s
Hey Ya!,Outkast,2003,https://open.spotify.com/track/2PpruBYCo4H7WOBJ7Q2EwM
Low (feat. T-Pain),"Flo Rida, T-Pain",2008,https://open.spotify.com/track/0CAfXk7DXMnon4gLudAp7J
Ignition - Remix,R. Kelly,2014,https://open.spotify.com/track/3zSCNTXI7Ed0PiidZVmzIe
Single Ladies (Put a Ring on It),Beyoncé,2008,https://open.spotify.com/track/5R9a4t5t5O0IsznsrKPVro
Umbrella,"Rihanna, JAY-Z",2008,https://open.spotify.com/track/49FYlytm3dAAraYgpoJZux
Thriller - Single Version,Michael Jackson,2005,https://open.spotify.com/track/20efeySIfZoiSaISGLBbNs
U Can't Touch This,MC Hammer,1990,https://open.spotify.com/track/1B75hgRqe7A4fwee3g3Wmu
Uptown Funk (feat. Bruno Mars),"Mark Ronson, Bruno Mars",2015,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
Ymca,Village People,2005,https://open.spotify.com/track/7Cp69rNBwU0gaFT8zxExlE
Get Low,"Lil Jon & The East Side Boyz, Ying Yang Twins",2002,https://open.spotify.com/track/0r2Bul2NuCViraT2zX1l5j
Ni**as In Paris,"JAY-Z, Kanye West",2011,https://open.spotify.com/track/2Zb7wnGUnNPCas2E0wWSQ5
Stayin' Alive - Edited Version,Bee Gees,1983,https://open.spotify.com/track/6shlFuqAzvqufG9wB6rxYk
Blue (Da Ba Dee) - DJ Ponte Ice Pop Radio,Eiffel 65,1998,https://open.spotify.com/track/08VeSelC8QYD1MIsK9gAmY
Dragostea Din Tei - Original Romanian Version,O-Zone,2009,https://open.spotify.com/track/09nxdcY2oYo57fJrG6CCCT
Sandstorm,Darude,2001,https://open.spotify.com/track/6Sy9BUbgFse0n0LPA5lwy5
Kung Fu Fighting,Carl Douglas,2001,https://open.spotify.com/track/40NRm1ZLvZpUSCUXAGGZ8J
Summer Of '69,Bryan Adams,1984,https://open.spotify.com/track/0GONea6G2XdnHWjNZd6zt3
Footloose,Kenny Loggins,1997,https://open.spotify.com/track/6W2VbtvMrDXm5vYeB7amkO
Funky Town,Lipps Inc.,2009,https://open.spotify.com/track/7723JnKU2R15Iv4T7OJrly
Call On Me - Radio Edit,Eric Prydz,2004,https://open.spotify.com/track/3uLSUZEmTY50H6Kw17lpfW
Another One Bites The Dust - Remastered 2011,Queen,1980,https://open.spotify.com/track/57JVGBtBLCfHw2muk5416J
It's Raining Men,The Weather Girls,2010,https://open.spotify.com/track/5TgD3Wh5ZUZnUU4tmVvJbx
"Boom, Boom, Boom, Boom!!",Vengaboys,2009,https://open.spotify.com/track/65OXGbKBQ8gUyJvUd0jNpf
We like to Party! (The Vengabus),Vengaboys,2009,https://open.spotify.com/track/3UL6Lzsocv9Ucizgzid2B0
Tubthumping,Chumbawamba,1997,https://open.spotify.com/track/22HYEJveCvykVDHDiEEmjZ
Jump - 2015 Remaster,Van Halen,1984,https://open.spotify.com/track/7N3PAbqfTjSEU1edb2tY8j
Mamma Mia,ABBA,1975,https://open.spotify.com/track/22NN4BS1AlqVbyKIWExgON
Blame It on the Boogie,The Jacksons,2004,https://open.spotify.com/track/2Cm7WEVdiXiWSjfEBHFtRu
Pump Up The Jam - Edit,Technotronic,2011,https://open.spotify.com/track/0UAEHlFR79k9CJvknSGUNf
Axel F - Radio Mix,Crazy Frog,2005,https://open.spotify.com/track/54mXTdOfNN7YYma1iRW3WY
Can't Get You out of My Head,Kylie Minogue,2001,https://open.spotify.com/track/3E7ZwUMJFqpsDOJzEkBrQ7
Bang - Tiësto Bootleg Radio Edit,3LAU,2014,https://open.spotify.com/track/5VHkkdAWbO8QKMKHnFNotP
Sweet Child O' Mine,Guns N' Roses,1987,https://open.spotify.com/track/7o2CTH4ctstm8TNelqjb51
In The Air Tonight - 2015 Remastered,Phil Collins,1981,https://open.spotify.com/track/18AXbzPzBS8Y3AkgSxzJPb
Dancing In the Dark,Bruce Springsteen,1984,https://open.spotify.com/track/7FwBtcecmlpc1sLySPXeGE
Born in the U.S.A.,Bruce Springsteen,1984,https://open.spotify.com/track/0dOg1ySSI7NkpAe89Zo0b9
Who Can It Be Now?,Men At Work,1996,https://open.spotify.com/track/5cOM0fTHceCkJVwuyHdMnk
Never Tear Us Apart,INXS,2011,https://open.spotify.com/track/3pyTksNccLM1jRvzQ4zTke
New Sensation,INXS,2012,https://open.spotify.com/track/5oOILfJXDNwuzFEj0zvI0R
Need You Tonight,INXS,2011,https://open.spotify.com/track/1sR4aKaHpLrc9u7g4ii90U
The Anthem,Good Charlotte,2002,https://open.spotify.com/track/0BRHnOFm6sjxN1i9LJrUDu
I Don't Wanna Be In Love (Dance Floor Anthem),Good Charlotte,2008,https://open.spotify.com/track/6BLLQndvA0rLbLcIZmuuEJ
Last Night,Good Charlotte,2010,https://open.spotify.com/track/3cO8w5kGXDdwQywhiX0G8J
1979,Good Charlotte,2010,https://open.spotify.com/track/3V6iTpZhci748mC2Fod98t
We Are Done,The Madden Brothers,2014,https://open.spotify.com/track/09Ye4UiReVCKbF2sXIZHGq
Power And The Passion - Remastered Version,Midnight Oil,2012,https://open.spotify.com/track/0iYFbSHCZUHD5tsOoiBiQo
Rock It,Little Red,2010,https://open.spotify.com/track/2uVvdA2rIdY1kSO1khtEkg
Big Jet Plane,Angus & Julia Stone,2010,https://open.spotify.com/track/2fbXJ0VpxhW7j0qcg1DnoZ
Straight Lines,Silverchair,2007,https://open.spotify.com/track/5HBDU0kn4f4hkZMjABsltT
Bonkers,Dizzee Rascal,2009,https://open.spotify.com/track/1CnJKZFfisBwlVbGShzKRq
Dance Wiv Me,Dizzee Rascal,2009,https://open.spotify.com/track/1d6vQqkVFIAyYTARdO7Ms2
Electric Feel,MGMT,2007,https://open.spotify.com/track/3FtYbEfBqAlGO46NUDQSAt
Kids,MGMT,2007,https://open.spotify.com/track/1jJci4qxiYcOHhQR247rEU
Latch,"Disclosure, Sam Smith",2013,https://open.spotify.com/track/51ODNNDZm21HU7wI7cccRr
Joker And The Thief,Wolfmother,2006,https://open.spotify.com/track/7ISL3LO8AWP3fKIXunvqTa
Forever Young,Youth Group,2007,https://open.spotify.com/track/3tFECpGckFpp0HpQje78gi
She's A Genius,Jet,2009,https://open.spotify.com/track/0GcGNNGgsXCoQ0gQyRpjci
My People,The Presets,2008,https://open.spotify.com/track/6EibHPCIskXUCnGwVB9zNC
Brother,Matt Corby,2011,https://open.spotify.com/track/5KrdYQS4U1Emzer8QShBE7
Eagle Rock,Daddy Cool,2010,https://open.spotify.com/track/7eGerrw3clFvXx1GhUYsK3
Are You Gonna Be My Girl,Jet,2012,https://open.spotify.com/track/7osOLdwCY2TA0aImPaZxrc
Khe Sanh,Cold Chisel,2011,https://open.spotify.com/track/04MGO8KdFKUcqQY3qVX0U4
Shooting Stars,Bag Raiders,2011,https://open.spotify.com/track/0UeYCHOETPfai02uskjJ3x
Plans,Birds Of Tokyo,2010,https://open.spotify.com/track/7n81LmuV2S1mDwPygontrH
Black Betty - Single Edit,Spiderbait,2004,https://open.spotify.com/track/7uSsHbBFFAnkRQR1rDwP3L
Somebody That I Used To Know,"Gotye, Kimbra",2011,https://open.spotify.com/track/1qk9ujVgudgU8CyhKOx8ji
Walking On A Dream,Empire Of The Sun,2009,https://open.spotify.com/track/6A6qBFJHid4WutQu6HHEZt
How Far We've Come,Matchbox Twenty,2007,https://open.spotify.com/track/3k2Zv2luPZHpxfFjGpr4Mm
Sweet Disposition,The Temper Trap,2009,https://open.spotify.com/track/49x8Zp5wDjoquBE1THLLCV
Somebody Told Me,The Killers,2004,https://open.spotify.com/track/3twNvmDtFQtAd5gMKedhLD
Chase That Feeling,Hilltop Hoods,2009,https://open.spotify.com/track/0HDVr7DVXJIJXVzHxTiSS5
Lanterns,Birds Of Tokyo,2014,https://open.spotify.com/track/0ciA43AxH3rZASCUBmYvPJ
Riptide,Vance Joy,2014,https://open.spotify.com/track/3JvrhDOgAt6p7K8mDyZwRd
Talk Is Cheap,Chet Faker,2014,https://open.spotify.com/track/7jJsme36M90Cn6aYYC2l3t
Cheap Wine,Cold Chisel,2011,https://open.spotify.com/track/0cnHixDlrP7fk0smV0wOtC
Chasing Cars,Snow Patrol,2009,https://open.spotify.com/track/7ctRAoCbcpOusbm3w3E6mn
I Will Wait,Mumford & Sons,2012,https://open.spotify.com/track/2JHBMVs8E7bJJBLkXpKgHn
Boys Like You (feat. Gossling),"360, Gossling",2012,https://open.spotify.com/track/5Sgow6NGwGQG5YksRMlooH
"Black Fingernails, Red Wine",Eskimo Joe,2006,https://open.spotify.com/track/1RAzJ63CkbuHNR9jo613v4
The Boys Light Up - Remastered 2013,Australian Crawl,2014,https://open.spotify.com/track/3LN1ZDrnXcr0BMeJaAotgP
Glamorous,"Fergie, Ludacris",2007,https://open.spotify.com/track/45JvAuYKz0Wm06r9fHb22B
Love Generation - Radio Edit,Bob Sinclar,2009,https://open.spotify.com/track/77gYpyxmd4b4VXw6qeuPJR
Flute,"New World Sound, Thomas Newson",2014,https://open.spotify.com/track/3dzGjZHu8ehCva7xnF9pm8
Tsunami,"DVBBS, Borgeous",2014,https://open.spotify.com/track/6ncY8ZU9DIHNP53X3oR7Qk
Stronger (What Doesn't Kill You),Kelly Clarkson,2011,https://open.spotify.com/track/1nInOsHbtotAmEOQhtvnzP
Lonely,Akon,2007,https://open.spotify.com/track/4mNGNMcsoMS6F9SGycmHWM
