title,artist,year,spotify_url
bellyache,Billie Eilish,2017,https://open.spotify.com/track/1OSGrqgpxK9CX5jVvUf0qW
Let's Talk About Sex,Salt-N-Pepa,2011,https://open.spotify.com/track/4zu3SDxP5Zy6F6tpzXbWK8
Fader,The Temper Trap,2009,https://open.spotify.com/track/0vNPJrUrBnMFdCs8b2MTNG
Timebomb,Kylie Minogue,2012,https://open.spotify.com/track/3CIsbbo8UeaKuIq0D0iVsB
No Idea,Don Toliver,2020,https://open.spotify.com/track/7AzlLxHn24DxjgQX73F9fU
Talk,"Khalid, Disclosure",2019,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM
Rapper's Delight - Single Version,The Sugarhill Gang,2010,https://open.spotify.com/track/0tm6gsXe0LSm9zeSspyMQu
Why Don't You Get A Job,The Offspring,1998,https://open.spotify.com/track/0sNKiz82ATCvT3f3XVVUUj
Welcome to the Black Parade,My Chemical Romance,2006,https://open.spotify.com/track/5wQnmLuC1W7ATsArWACrgW
Alors On Danse - DubDogz Remix,"Stromae, Dubdogz",2019,https://open.spotify.com/track/19eIZmuXlBmLTha1lPHef7
greedy,Tate McRae,2023,https://open.spotify.com/track/3rUGC1vUpkDG9CZFHMur1t
Ain't No Other Man,Christina Aguilera,2006,https://open.spotify.com/track/6FCekHIwxq4jn9n0lQ1eXD
Ma Baker,Boney M.,1977,https://open.spotify.com/track/1BqnZOkYJbvYLOhN0qPJDm
Thank You,MKTO,2014,https://open.spotify.com/track/4OVFkPYP6T8IARtkeMsx3p
The Woo (feat. 50 Cent & Roddy Ricch),"Pop Smoke, 50 Cent, Roddy Ricch",2020,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
"Read All About It, Pt. III",Emeli Sandé,2012,https://open.spotify.com/track/30BsewEJZPxfuLNAlZPFje
Lay It On Me,Vance Joy,2018,https://open.spotify.com/track/7pIO6C4Nvq7OBGrvK5dJdP
Just Can't Get Enough,Depeche Mode,1981,https://open.spotify.com/track/0qi4b1l0eT3jpzeNHeFXDT
If Ya Gettin' Down,Five,2001,https://open.spotify.com/track/0yqSH3Oo6x6WILsGZI1uOz
Open Your Eyes,Snow Patrol,2006,https://open.spotify.com/track/55fg1bDXyNUsY2KaSMNFpA
Informer,Snow,1993,https://open.spotify.com/track/2LjiPAQOVazT8sRyXL3XRs
Bird Machine,DJ Snake feat. Alesia,2013,https://open.spotify.com/track/6Oyn1cIKVaaDTrsBAkFgTI
Somebody Told Me,The Killers,2004,https://open.spotify.com/track/3twNvmDtFQtAd5gMKedhLD
SUGAR,BROCKHAMPTON,2019,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
Gives You Hell,The All-American Rejects,2008,https://open.spotify.com/track/5gb9UJkh8TfrNMRYOJNbew
BABY GIRL,Disco Lines,2022,https://open.spotify.com/track/08otCTIDsEFZcVGC4lilKk
Welcome To The Jungle,Guns N' Roses,1987,https://open.spotify.com/track/5NIPsWpDjJTFBoPxCUUeXp
Bodyrock,Moby,1999,https://open.spotify.com/track/3aTb5EUBOlNDSEcaTFI7Jj
The Rockafeller Skank - Remastered Version,Fatboy Slim,2006,https://open.spotify.com/track/2EiYIBGH83p6ORjs14Rdgy
Higher,Taio Cruz,2010,https://open.spotify.com/track/4PYTMO1VMWLPVvGUtqkUwv
Radio,Lana Del Rey,2012,https://open.spotify.com/track/4PMdq7Q7xOFrY424ZelZEb
Company,Justin Bieber,2015,https://open.spotify.com/track/61uyGDPJ06MkxJtHgPmuyO
Чупки в кръста,Fiki,2022,https://open.spotify.com/track/3FkA5BCzxB4SeQ7fSzUmJE
Rover (feat. DTG),"S1mba, DTG",2020,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
The Next Episode,"Dr. Dre, Snoop Dogg",1999,https://open.spotify.com/track/4LwU4Vp6od3Sb08CsP99GC
Everywhere,Michelle Branch,2001,https://open.spotify.com/track/1u0l8zWpQeMYStFkc2mLD7
Vienna,Billy Joel,1977,https://open.spotify.com/track/4U45aEWtQhrm8A5mxPaFZ7
Sweet Disposition,The Temper Trap,2009,https://open.spotify.com/track/49x8Zp5wDjoquBE1THLLCV
Whistle,Flo Rida,2012,https://open.spotify.com/track/3bC1ahPIYt1btJzSSEyyrF
"The Heat Is On - From ""Beverly Hills Cop"" Soundtrack",Glenn Frey,2018,https://open.spotify.com/track/0PXw9NKvolWTo7U9JkNzmc
Teardrop,"Massive Attack, Elizabeth Fraser",1998,https://open.spotify.com/track/67Hna13dNDkZvBpTXRIaOJ
Complicated,Avril Lavigne,2002,https://open.spotify.com/track/2IiNA0s5eQBSjwK4iNeUvW
This Is America,Childish Gambino,2018,https://open.spotify.com/track/6EEchdRtnndmJHa5yRebCc
Replay,Iyaz,2009,https://open.spotify.com/track/5vlEg2fT4cFWAqU5QptIpQ
Touch,Little Mix,2016,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z
Mama Said,Lukas Graham,2016,https://open.spotify.com/track/5ArQzSBevAdXTxRY6Ulhbq
Buss It,Erica Banks,2020,https://open.spotify.com/track/25j0Sape7qZbq6ZPLFefTT
Lola - Remastered,The Kinks,1970,https://open.spotify.com/track/7bIQeY33PkduZRmR3h9BIY
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),"Amaarae, Kali Uchis, MOLIY",2021,https://open.spotify.com/track/15HMh4yxdf4wyxSZSlOgGZ
Power And The Passion - Remastered Version,Midnight Oil,2012,https://open.spotify.com/track/0iYFbSHCZUHD5tsOoiBiQo
Suit & Tie (feat. JAY-Z),"Justin Timberlake, JAY-Z",2013,https://open.spotify.com/track/6vt0I1cw1YmAIKDJvHVIM5
Animal,Neon Trees,2010,https://open.spotify.com/track/0l4DTppOxy7NUaEcwXuOb6
Vibe (If I Back It Up),Cookiee Kawaii,2020,https://open.spotify.com/track/4ZAQiu61otvHVveuTsPAUr
Lady - Hear Me Tonight,Modjo,2001,https://open.spotify.com/track/49X0LAl6faAusYq02PRAY6
Ride It,Regard,2019,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
Body,Megan Thee Stallion,2020,https://open.spotify.com/track/0A1hoCfMLkiAgvhWkkucJa
Easy Love - Original Mix,Sigala,2015,https://open.spotify.com/track/7uH20mELeQelsiMNCh78gD
Thrift Shop (feat. Wanz),"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Wanz",2013,https://open.spotify.com/track/1CmUZGtH29Kx36C1Hleqlz
Dumb,The 411,2004,https://open.spotify.com/track/2OlqxtIOJ7qOmbVs5lp1Zp
Strange Clouds (feat. Lil Wayne),"B.o.B, Lil Wayne",2012,https://open.spotify.com/track/0yQw3d0iQDjMrxaVHFv77J
I Hate Everything About You,Three Days Grace,2003,https://open.spotify.com/track/0M955bMOoilikPXwKLYpoi
"thank u, next",Ariana Grande,2019,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
Blood,The Middle East,2009,https://open.spotify.com/track/5eeMft4YZx0Xdf9yJPNZJY
Cool for the Summer,Demi Lovato,2015,https://open.spotify.com/track/1KK0j3djUgx5tuOMwesdAT
Bad Girls,M.I.A.,2013,https://open.spotify.com/track/6iBaw0T7b3pTmMH1eMrul0
Mama Do The Hump,Rizzle Kicks,2011,https://open.spotify.com/track/1Buen1HzrkOrgW69mYnFqg
Warrior,Havana Brown,2013,https://open.spotify.com/track/3VSwARoclO0UXWWhsPkW2P
Hey Ya!,Outkast,2003,https://open.spotify.com/track/2PpruBYCo4H7WOBJ7Q2EwM
Try,P!nk,2012,https://open.spotify.com/track/1jF7IL57ayN4Ity3jQqGu0
Dangerous,"Kardinal Offishall, Akon",2008,https://open.spotify.com/track/4NOZ35Dhucr6UlVyLOtktd
